"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ENA|HBXI01000282|HBXI01000282.1" 10785.1007252411 0.390401357378876 0.110184336461187 3.54316566144951 0.000395354264658291 0.0375869027719842
"ENA|HBXI01001137|HBXI01001137.1" 265.786801907878 -0.441150615577295 0.107666506562387 -4.0973802314434 4.17852238082971e-05 0.0114411698762291
"ENA|HBXI01001218|HBXI01001218.1" 11.5377730515638 22.0916930031016 2.95436019747236 7.47765726806177 7.56592007572484e-14 3.07289843875564e-10
"ENA|HBXI01001274|HBXI01001274.1" 313.643878068576 0.444682195514467 0.0851937450667532 5.21965779490076 1.79254032883891e-07 0.000249613801562717
"ENA|HBXI01001734|HBXI01001734.1" 473.136315234132 -0.35075640348077 0.0909328999696919 -3.85731021003044 0.00011464163111477 0.0199550136331131
"ENA|HBXI01001753|HBXI01001753.1" 8.7540043226833 5.93766762168538 1.52010569643424 3.90608865923833 9.38021073700696e-05 0.0178583090195408
"ENA|HBXI01001867|HBXI01001867.1" 16.8496184817998 0.821796368824694 0.235061173455954 3.49609574708724 0.000472119259928948 0.0407784798905837
"ENA|HBXI01001950|HBXI01001950.1" 425.463158046237 -0.661166164418782 0.126438451128009 -5.22915425268381 1.70287243170097e-07 0.000244101754636005
"ENA|HBXI01002072|HBXI01002072.1" 1079.51711732046 -0.395610735664243 0.105844991807354 -3.73764246100832 0.000185753842706844 0.0260524834120926
"ENA|HBXI01002075|HBXI01002075.1" 2092.25447353149 -0.153904979394329 0.0419627177001956 -3.6676599569625 0.000244780419064329 0.0297508929285717
"ENA|HBXI01003061|HBXI01003061.1" 732.660260578845 -0.294279442303378 0.0799957481380238 -3.67868854474155 0.000234436348259626 0.0290736863650831
"ENA|HBXI01003226|HBXI01003226.1" 11.47263038847 2.0270429524162 0.589788189359271 3.4368998718308 0.000588413082570198 0.0457385595188299
"ENA|HBXI01003241|HBXI01003241.1" 216.127209022022 -0.643054351756292 0.170448713688284 -3.77271460629681 0.000161480964771694 0.0242161823416703
"ENA|HBXI01003282|HBXI01003282.1" 155.113512600405 -1.0629810094048 0.297820650091913 -3.56919847255975 0.000358075083533121 0.0358591372673703
"ENA|HBXI01003337|HBXI01003337.1" 41.1809348808594 1.11109191683194 0.270394937179978 4.10914467711496 3.97127234710126e-05 0.0110601069516012
"ENA|HBXI01003546|HBXI01003546.1" 9.13882161480631 0.953919718988219 0.264927780159856 3.60067833736662 0.000317388041287706 0.0339974908929235
"ENA|HBXI01003798|HBXI01003798.1" 244.127418707899 -3.87911136736441 0.864824577451449 -4.48543146032662 7.27665354072941e-06 0.00381343591686097
"ENA|HBXI01004256|HBXI01004256.1" 16.2200707361019 -2.36937269357517 0.647804376903774 -3.65754350858164 0.000254644044479975 0.0300504635347821
"ENA|HBXI01004265|HBXI01004265.1" 27.45371213175 1.04138103388388 0.261060571275676 3.98903989520576 6.63412645080368e-05 0.0149001868644825
"ENA|HBXI01004523|HBXI01004523.1" 15.9362860777856 -23.8391528852982 2.9457488474393 -8.09273095566896 5.83416365527036e-16 5.68690936461133e-12
"ENA|HBXI01004928|HBXI01004928.1" 14.542851676667 -1.01417143011268 0.28610427032195 -3.54476159678232 0.000392968341707883 0.0375539039963899
"ENA|HBXI01005080|HBXI01005080.1" 43.2370995494584 1.18906895166578 0.270239243505394 4.4000602438115 1.08220829546028e-05 0.00478938837851008
"ENA|HBXI01005128|HBXI01005128.1" 50.5295594153775 1.17885806506745 0.317380304224131 3.71433907327454 0.000203735470396823 0.026692632677958
"ENA|HBXI01005204|HBXI01005204.1" 25.9214253727753 0.969742385865164 0.195792197416586 4.95291640147359 7.31093890448144e-07 0.00073685145991157
"ENA|HBXI01005329|HBXI01005329.1" 43.5851284413702 -1.58042773545617 0.415610955409484 -3.8026613949554 0.000143149948990774 0.022578777391302
"ENA|HBXI01005422|HBXI01005422.1" 33.8883501166441 -0.735654061821106 0.213696966041073 -3.44251055805683 0.000576341366702405 0.0452330523838032
"ENA|HBXI01005653|HBXI01005653.1" 155.643326445738 -2.69007007908542 0.670503491795734 -4.01201501856598 6.02026690117422e-05 0.0139773612850058
"ENA|HBXI01006040|HBXI01006040.1" 808.09272930134 0.834672250494302 0.190446163408045 4.38272021634773 1.17206593601068e-05 0.00505523447692821
"ENA|HBXI01006254|HBXI01006254.1" 60.6434301793707 0.70509042601514 0.195197878357773 3.61218283696096 0.000303630356321253 0.0333295862756424
"ENA|HBXI01006433|HBXI01006433.1" 15368.5705372859 0.270367740995806 0.0773164224400388 3.4968992674937 0.000470699533607124 0.0407476978133997
"ENA|HBXI01006777|HBXI01006777.1" 176.380675198044 0.539912793255528 0.158496856124041 3.40645743050567 0.000658118126694053 0.0490448948911541
"ENA|HBXI01007247|HBXI01007247.1" 195.191251411491 -0.351953999721007 0.0954116451848537 -3.68879500022371 0.000225318671097628 0.0283761793073804
"ENA|HBXI01007296|HBXI01007296.1" 334.523900650903 0.337441828830694 0.092424435577123 3.65100232123266 0.000261218878823612 0.0304576213303952
"ENA|HBXI01007342|HBXI01007342.1" 55.0053934857045 -1.30667825642864 0.347522929372901 -3.75997710075281 0.000169928910889813 0.025021133712833
"ENA|HBXI01007363|HBXI01007363.1" 55.3096285011954 -0.698035899989972 0.175257362390412 -3.98291912230765 6.80739269742786e-05 0.015080850240329
"ENA|HBXI01007675|HBXI01007675.1" 131.331184354968 0.531432005341107 0.128820180438895 4.12537852012393 3.70125509089418e-05 0.0105492263520468
